date,cases,deaths,recovered,new_cases,new_deaths,new_recovered,active,case_fatality_rate
2021-01-23,99094929,2212926,,604770,14517,,,2233.13748
2022-06-05,531867895,6322795,,465382,1328,,,1188.790498
2022-11-18,637002555,6620975,,394338,1471,,,1039.39536
2020-02-03,19887,428,627,2423,49,79,18832,2152.159702
2021-06-15,177143474,3852167,,378416,10808,,,2174.602831
2022-10-26,628576896,6586491,,400328,1639,,,1047.841727
2021-11-05,249825982,5067988,,450275,6969,,,2028.607257
2020-07-15,13571277,630414,7542363,215491,5333,138106,5398500,4645.207669
2020-11-15,54610161,1392563,,583358,9064,302374,,2550.007131
2022-05-10,518620069,6283661,,539921,1992,,,1211.611616
2020-02-23,78299,2470,23388,1059,99,1788,52441,3154.574132
2021-07-05,184659463,4014141,,391130,7859,,,2173.807361
2021-12-18,274584295,5381743,,648430,6944,,,1959.960237
2020-03-17,197612,8109,80438,11323,542,2294,109065,4103.495739
2021-07-28,196485970,4217660,,566831,8788,,,2146.54512
2020-06-25,9597342,529286,4825624,160222,5074,97607,4242432,5514.922778
2022-04-23,509291794,6246844,,707096,2535,,,1226.574642
2020-06-02,6398570,415160,2788197,114447,4575,73246,3195213,6488.324735
2021-11-25,260334761,5212712,,569247,7206,,,2002.31117
2022-05-16,521933757,6293085,,564576,1621,,,1205.724848
2020-05-13,4352031,323035,1539679,84018,5131,42998,2489317,7422.626355
2021-01-17,95389033,2121144,,682467,14143,,,2223.677013
2021-09-23,231139518,4757424,,515967,8426,,,2058.247781
2022-05-30,528954433,6314539,,465553,1464,,,1193.777499
2021-05-03,153942261,3348663,,797515,13732,,,2175.272065
2022-09-13,609194490,6519278,,480464,1702,,,1070.147237
2020-04-06,1322438,85284,275788,76033,6170,16043,961366,6448.997987
2020-12-11,71275526,1672624,,745469,11096,,,2346.701728
2022-01-07,303993906,5513524,,2182870,6394,,,1813.695568
2022-04-03,491690190,6187042,,1384659,3952,,,1258.321221
2022-12-08,646360660,6650657,,531712,1696,,,1028.939014
2020-03-31,859849,47148,176336,62422,3877,9829,636365,5483.288345
2020-12-05,66699576,1605481,,612370,11040,,,2407.033292
2022-07-18,563159387,6391413,,980271,1938,,,1134.920796
2020-08-27,24498148,891216,15992923,252582,5796,207576,7614009,3637.891321
2022-02-19,423579445,5912249,,1868949,10203,,,1395.782791
2020-05-19,4900828,351683,1828090,90444,4834,49149,2721055,7175.991486
2020-06-11,7527635,458825,3528185,125151,4638,84418,3540625,6095.207857
2021-05-09,158602758,3430470,,764042,13355,,,2162.932123
2022-04-06,495462908,6198906,,1184175,3666,,,1251.134222
2022-11-07,632438542,6603595,,336879,1564,,,1044.148097
2020-07-04,11283528,572931,6043444,188284,4832,143688,4667153,5077.587435
2020-12-20,77023089,1773872,,651446,11739,,,2303.039287
2021-06-01,171690103,3708261,,477000,11551,,,2159.85717
2021-11-17,255728425,5153895,,512655,7364,,,2015.378228
2022-04-29,513084937,6263091,,607382,2542,,,1220.673333
2022-10-15,623952219,6568644,,466302,1470,,,1052.747919
2020-07-27,16486071,701368,9582806,253884,6055,184665,6201897,4254.30656
2020-11-27,61805409,1518634,,588151,10376,,,2457.121512
2021-06-24,180496783,3929668,,366882,8297,,,2177.140188
2021-10-25,244756513,4985546,,427788,7134,,,2036.941097
2022-05-22,525170054,6302580,,546637,1577,,,1200.1027
2022-09-22,613627935,6535147,,444127,1553,,,1065.001547
2021-10-02,235205861,4827022,,449064,7911,,,2052.254132
2022-06-14,536608617,6336621,,527771,1540,,,1180.864563
2020-12-14,73014134,1700876,,747968,11207,,,2329.516091
2020-03-03,92288,3158,48209,1790,63,2900,40921,3421.896671
2022-03-20,470839732,6112484,,1777842,5434,,,1298.209047
2022-11-24,639255722,6628643,,408859,1427,,,1036.931352
