,country,year,population
729,St. Kitts and Nevis,2021,47606.0
730,St. Kitts and Nevis,2022,47657.0
731,St. Kitts and Nevis,2023,47755.0
732,St. Lucia,2020,179237.0
733,St. Lucia,2021,179651.0
734,St. Lucia,2022,179857.0
735,St. Lucia,2023,180251.0
736,St. Vincent and the Grenadines,2020,104632.0
737,St. Vincent and the Grenadines,2021,104332.0
738,St. Vincent and the Grenadines,2022,103948.0
739,St. Vincent and the Grenadines,2023,103698.0
740,Sudan,2020,44440486.0
741,Sudan,2021,45657202.0
742,Sudan,2022,46874204.0
743,Sudan,2023,48109006.0
744,Suriname,2020,607065.0
745,Suriname,2021,612985.0
746,Suriname,2022,618040.0
747,Suriname,2023,623236.0
748,Sweden,2020,10353442.0
749,Sweden,2021,10415811.0
750,Sweden,2022,10486941.0
751,Sweden,2023,10536632.0
752,Switzerland,2020,8638167.0
753,Switzerland,2021,8704546.0
754,Switzerland,2022,8775760.0
755,Switzerland,2023,8849852.0
756,Syria,2020,20772595.0
757,Syria,2021,21324367.0
758,Syria,2022,22125249.0
759,Syria,2023,23227014.0
760,Tajikistan,2020,9543207.0
761,Tajikistan,2021,9750064.0
762,Tajikistan,2022,9952787.0
763,Tajikistan,2023,10143543.0
764,Tanzania,2020,61704518.0
765,Tanzania,2021,63588334.0
766,Tanzania,2022,65497748.0
767,Tanzania,2023,67438106.0
768,Thailand,2020,71475664.0
769,Thailand,2021,71601103.0
770,Thailand,2022,71697030.0
771,Thailand,2023,71801279.0
772,Timor-Leste,2020,1299995.0
773,Timor-Leste,2021,1320942.0
774,Timor-Leste,2022,1341296.0
775,Timor-Leste,2023,1360596.0
776,Togo,2020,8442580.0
777,Togo,2021,8644829.0
778,Togo,2022,8848699.0
779,Togo,2023,9053799.0
780,Tonga,2020,105254.0
781,Tonga,2021,106017.0
782,Tonga,2022,106858.0
783,Tonga,2023,107773.0
784,Trinidad and Tobago,2020,1518147.0
785,Trinidad and Tobago,2021,1525663.0
786,Trinidad and Tobago,2022,1531044.0
787,Trinidad and Tobago,2023,1534937.0
788,Tunisia,2020,12161723.0
789,Tunisia,2021,12262946.0
790,Tunisia,2022,12356117.0
791,Tunisia,2023,12458223.0
792,Turkmenistan,2020,6250438.0
793,Turkmenistan,2021,6341855.0
794,Turkmenistan,2022,6430770.0
795,Turkmenistan,2023,6516100.0
796,Turks and Caicos Islands,2020,44276.0
797,Turks and Caicos Islands,2021,45114.0
798,Turks and Caicos Islands,2022,45703.0
799,Turks and Caicos Islands,2023,46062.0
800,Tuvalu,2020,11069.0
801,Tuvalu,2021,11204.0
802,Tuvalu,2022,11312.0
803,Tuvalu,2023,11396.0
804,Türkiye,2020,83384680.0
805,Türkiye,2021,84147318.0
806,Türkiye,2022,84979913.0
807,Türkiye,2023,85326000.0
808,Uganda,2020,44404611.0
809,Uganda,2021,45853778.0
810,Uganda,2022,47249585.0
811,Uganda,2023,48582334.0
812,Ukraine,2020,44207754.0
813,Ukraine,2021,43848986.0
814,Ukraine,2022,38000000.0
815,Ukraine,2023,37000000.0
816,United Arab Emirates,2020,9287289.0
817,United Arab Emirates,2021,9365145.0
818,United Arab Emirates,2022,9441129.0
819,United Arab Emirates,2023,9516871.0
820,United Kingdom,2020,67081234.0
821,United Kingdom,2021,67026292.0
822,United Kingdom,2022,67791000.0
823,United Kingdom,2023,68350000.0
824,United States,2020,331526933.0
825,United States,2021,332048977.0
826,United States,2022,333271411.0
827,United States,2023,334914895.0
828,United States Virgin Islands,2020,106290.0
829,United States Virgin Islands,2021,105870.0
830,United States Virgin Islands,2022,105413.0
831,United States Virgin Islands,2023,104917.0
832,Uruguay,2020,3429086.0
833,Uruguay,2021,3426260.0
